tag,n,acc
age_unknown,1318,0.75569046
body_part,20000,0.80835
bright,1272,0.8160377
dark,3361,0.79976195
depiction,754,0.56631297
far,943,0.5365854
gender_unknown,1727,0.7967574
medium_distance,2400,0.8129167
middle_age,2348,0.88117546
near,5946,0.913219
non-person_depiction,378,0.7063492
non-person_non-depiction,9275,0.825876
normal_lighting,15367,0.809592
older,102,0.872549
person_depiction,376,0.42553192
predominantly_female,801,0.8988764
predominantly_male,1372,0.86297375
young,331,0.918429
