tag,n,acc
age_unknown,1318,0.5523521
body_part,20000,0.7669
bright,1272,0.7696541
dark,3361,0.7506694
depiction,754,0.70689654
far,943,0.388123
gender_unknown,1727,0.60509557
medium_distance,2400,0.60083336
middle_age,2348,0.73040885
near,5946,0.7810293
non-person_depiction,378,0.8148148
non-person_non-depiction,9275,0.87849057
normal_lighting,15367,0.7702219
older,102,0.7647059
person_depiction,376,0.5984042
predominantly_female,801,0.77028716
predominantly_male,1372,0.712828
young,331,0.7794562
