tag,n,acc
age_unknown,1318,0.39605463
body_part,20000,0.4299
bright,1272,0.49213836
dark,3361,0.40315384
depiction,754,0.45358092
far,943,0.2969247
gender_unknown,1727,0.4198031
medium_distance,2400,0.35333332
middle_age,2348,0.38713798
near,5946,0.41035992
non-person_depiction,378,0.43121693
non-person_non-depiction,9275,0.49132076
normal_lighting,15367,0.43059802
older,102,0.3529412
person_depiction,376,0.47606382
predominantly_female,801,0.4619226
predominantly_male,1372,0.35932943
young,331,0.53172207
