tag,n,acc
age_unknown,1318,0.44157815
body_part,20000,0.78165
bright,1272,0.797956
dark,3361,0.78220767
depiction,754,0.8647215
far,943,0.15694591
gender_unknown,1727,0.5165026
medium_distance,2400,0.52208334
middle_age,2348,0.7005963
near,5946,0.75361586
non-person_depiction,378,0.94973546
non-person_non-depiction,9275,0.9786523
normal_lighting,15367,0.7801783
older,102,0.7254902
person_depiction,376,0.77925533
predominantly_female,801,0.76529336
predominantly_male,1372,0.6698251
young,331,0.7492447
